library_info,time,shot,LLM,total_rows,ollama_timeout_count,hex_conversion_exception_count,exception_count,format_mismatch_case1_count,format_mismatch_case2_count,correct_format_count,format_mismatch_ratio (%),hex_conversion_exception_rate (%),ollama_timeout_rate (%),format_correctness_rate (%)
mbedtls_fuzz_dtlsclient_7c6b0e,4,3,Llama3.3,140,4,36,40,58,0,78,41.43,90.0,2.86,55.71
openh264_decoder_fuzzer,1,0,Deepseek-r1-Distill-Llama-70B,132,0,32,32,81,4,51,64.39,100.0,0.0,38.64
openh264_decoder_fuzzer,1,0,Gemma3-27B,218,0,64,64,113,8,105,55.5,100.0,0.0,48.17
openh264_decoder_fuzzer,1,0,Llama3.3,560,0,243,243,210,13,350,39.82,100.0,0.0,62.5
openh264_decoder_fuzzer,1,0,QwQ-32B,144,0,32,32,92,4,52,66.67,100.0,0.0,36.11
openh264_decoder_fuzzer,1,1,Deepseek-r1-Distill-Llama-70B,93,0,9,9,72,4,21,81.72,100.0,0.0,22.58
openh264_decoder_fuzzer,1,1,Gemma3-27B,2637,106,1093,1290,1035,0,1405,39.25,84.73,4.02,53.28
openh264_decoder_fuzzer,1,1,Llama3.3,433,0,195,195,195,0,238,45.03,100.0,0.0,54.97
openh264_decoder_fuzzer,1,1,QwQ-32B,20,0,0,0,20,0,0,100.0,0.0,0.0,0.0
openh264_decoder_fuzzer,1,3,Deepseek-r1-Distill-Llama-70B,466,0,159,159,210,13,256,47.85,100.0,0.0,54.94
openh264_decoder_fuzzer,1,3,Gemma3-27B,344,0,129,129,129,11,215,40.7,100.0,0.0,62.5
openh264_decoder_fuzzer,1,3,Llama3.3,98,0,89,89,1,1,97,2.04,100.0,0.0,98.98
openh264_decoder_fuzzer,1,3,QwQ-32B,382,0,146,146,146,12,236,41.36,100.0,0.0,61.78
openh264_decoder_fuzzer,4,0,Deepseek-r1-Distill-Llama-70B,1716,48,735,874,653,0,924,38.05,84.1,2.8,53.85
openh264_decoder_fuzzer,4,0,Gemma3-27B,1587,46,660,797,615,0,835,38.75,82.81,2.9,52.61
openh264_decoder_fuzzer,4,0,Llama3.3,506,0,470,471,0,2,505,0.4,99.79,0.0,99.8
openh264_decoder_fuzzer,4,0,QwQ-32B,1772,66,736,893,690,0,925,38.94,82.42,3.72,52.2
openh264_decoder_fuzzer,4,1,Deepseek-r1-Distill-Llama-70B,2398,99,949,1139,996,0,1212,41.53,83.32,4.13,50.54
openh264_decoder_fuzzer,4,1,Gemma3-27B,2144,94,921,1106,793,0,1166,36.99,83.27,4.38,54.38
openh264_decoder_fuzzer,4,1,Llama3.3,320,0,162,162,125,0,195,39.06,100.0,0.0,60.94
openh264_decoder_fuzzer,4,1,QwQ-32B,1850,77,742,910,750,0,932,40.54,81.54,4.16,50.38
openh264_decoder_fuzzer,4,3,Deepseek-r1-Distill-Llama-70B,951,3,434,437,440,0,508,46.27,99.31,0.32,53.42
openh264_decoder_fuzzer,4,3,Gemma3-27B,1350,35,590,713,499,0,728,36.96,82.75,2.59,53.93
openh264_decoder_fuzzer,4,3,Llama3.3,685,1,409,410,212,0,472,30.95,99.76,0.15,68.91
openh264_decoder_fuzzer,4,3,QwQ-32B,1019,18,438,456,489,0,512,47.99,96.05,1.77,50.25
openssl_x509,1,0,Llama3.3,32,0,5,7,1,1,30,6.25,71.43,0.0,93.75
openssl_x509,1,1,Llama3.3,64,0,28,28,30,0,34,46.88,100.0,0.0,53.12
openssl_x509,1,3,Llama3.3,162,0,62,62,31,0,131,19.14,100.0,0.0,80.86
openssl_x509,4,0,Llama3.3,39,0,5,8,3,0,36,7.69,62.5,0.0,92.31
openssl_x509,4,1,Llama3.3,32,0,0,0,30,0,2,93.75,0.0,0.0,6.25
openssl_x509,4,3,Llama3.3,129,0,36,36,30,0,99,23.26,100.0,0.0,76.74
openthread_ot-ip6-send-fuzzer,1,0,Deepseek-r1-Distill-Llama-70B,103,0,7,7,30,4,73,33.01,100.0,0.0,70.87
openthread_ot-ip6-send-fuzzer,1,0,Gemma3-27B,200,0,13,13,51,5,149,28.0,100.0,0.0,74.5
openthread_ot-ip6-send-fuzzer,1,0,Llama3.3,64,0,11,11,0,3,64,4.69,100.0,0.0,100.0
openthread_ot-ip6-send-fuzzer,1,0,QwQ-32B,118,0,8,8,44,4,74,40.68,100.0,0.0,62.71
openthread_ot-ip6-send-fuzzer,1,1,Deepseek-r1-Distill-Llama-70B,69,0,1,1,25,3,44,40.58,100.0,0.0,63.77
openthread_ot-ip6-send-fuzzer,1,1,Gemma3-27B,936,18,101,126,301,0,610,32.16,80.16,1.92,65.17
openthread_ot-ip6-send-fuzzer,1,1,Llama3.3,175,0,14,14,34,0,141,19.43,100.0,0.0,80.57
openthread_ot-ip6-send-fuzzer,1,1,QwQ-32B,30,0,1,1,20,1,10,70.0,100.0,0.0,33.33
openthread_ot-ip6-send-fuzzer,1,3,Deepseek-r1-Distill-Llama-70B,316,0,28,28,65,8,251,23.1,100.0,0.0,79.43
openthread_ot-ip6-send-fuzzer,1,3,Gemma3-27B,458,0,45,45,69,12,389,17.69,100.0,0.0,84.93
openthread_ot-ip6-send-fuzzer,1,3,Llama3.3,357,0,58,58,40,0,317,11.2,100.0,0.0,88.8
openthread_ot-ip6-send-fuzzer,1,3,QwQ-32B,280,0,26,26,57,5,223,22.14,100.0,0.0,79.64
openthread_ot-ip6-send-fuzzer,4,0,Deepseek-r1-Distill-Llama-70B,657,4,89,100,131,0,515,19.94,89.0,0.61,78.39
openthread_ot-ip6-send-fuzzer,4,0,Gemma3-27B,371,0,34,34,68,11,303,21.29,100.0,0.0,81.67
openthread_ot-ip6-send-fuzzer,4,0,Llama3.3,69,0,22,24,1,1,68,2.9,91.67,0.0,98.55
openthread_ot-ip6-send-fuzzer,4,0,QwQ-32B,693,16,89,112,155,0,515,22.37,79.46,2.31,74.31
openthread_ot-ip6-send-fuzzer,4,1,Deepseek-r1-Distill-Llama-70B,859,18,96,121,250,0,584,29.1,79.34,2.1,67.99
openthread_ot-ip6-send-fuzzer,4,1,Gemma3-27B,813,17,95,119,242,0,547,29.77,79.83,2.09,67.28
openthread_ot-ip6-send-fuzzer,4,1,Llama3.3,120,0,7,7,30,0,90,25.0,100.0,0.0,75.0
openthread_ot-ip6-send-fuzzer,4,1,QwQ-32B,734,16,91,114,187,0,524,25.48,79.82,2.18,71.39
openthread_ot-ip6-send-fuzzer,4,3,Deepseek-r1-Distill-Llama-70B,399,0,62,62,47,0,352,11.78,100.0,0.0,88.22
openthread_ot-ip6-send-fuzzer,4,3,Gemma3-27B,533,3,75,84,119,0,405,22.33,89.29,0.56,75.98
openthread_ot-ip6-send-fuzzer,4,3,Llama3.3,294,0,42,42,37,0,257,12.59,100.0,0.0,87.41
openthread_ot-ip6-send-fuzzer,4,3,QwQ-32B,437,3,62,65,79,0,355,18.08,95.38,0.69,81.24
php_php-fuzz-parser_0dbedb,1,0,Llama3.3,75,0,48,49,0,1,75,1.33,97.96,0.0,100.0
php_php-fuzz-parser_0dbedb,1,1,Llama3.3,333,6,78,84,137,0,190,41.14,92.86,1.8,57.06
php_php-fuzz-parser_0dbedb,1,3,Llama3.3,99,0,45,45,0,5,99,5.05,100.0,0.0,100.0
php_php-fuzz-parser_0dbedb,4,0,Llama3.3,257,0,182,185,1,4,253,1.95,98.38,0.0,98.44
php_php-fuzz-parser_0dbedb,4,1,Llama3.3,255,4,70,74,90,0,161,35.29,94.59,1.57,63.14
php_php-fuzz-parser_0dbedb,4,3,Llama3.3,500,15,152,167,146,0,339,29.2,91.02,3.0,67.8
proj4_proj_crs_to_crs_fuzzer,1,0,Llama3.3,102,0,49,50,1,0,101,0.98,98.0,0.0,99.02
proj4_proj_crs_to_crs_fuzzer,1,1,Llama3.3,601,0,170,170,221,0,380,36.77,100.0,0.0,63.23
proj4_proj_crs_to_crs_fuzzer,1,3,Llama3.3,954,0,380,380,239,0,715,25.05,100.0,0.0,74.95
proj4_proj_crs_to_crs_fuzzer,4,0,Llama3.3,307,0,204,206,2,0,305,0.65,99.03,0.0,99.35
proj4_proj_crs_to_crs_fuzzer,4,1,Llama3.3,506,0,143,143,189,0,317,37.35,100.0,0.0,62.65
proj4_proj_crs_to_crs_fuzzer,4,3,Llama3.3,885,0,353,353,238,0,647,26.89,100.0,0.0,73.11
re2_fuzzer,1,0,Llama3.3,306,0,45,62,10,33,296,14.05,72.58,0.0,96.73
re2_fuzzer,1,1,Llama3.3,495,0,82,82,81,0,414,16.36,100.0,0.0,83.64
re2_fuzzer,1,3,Llama3.3,969,0,125,125,94,0,875,9.7,100.0,0.0,90.3
re2_fuzzer,4,0,Llama3.3,497,0,95,95,0,13,497,2.62,100.0,0.0,100.0
re2_fuzzer,4,1,Llama3.3,371,0,66,66,43,0,328,11.59,100.0,0.0,88.41
re2_fuzzer,4,3,Llama3.3,860,0,117,117,92,0,768,10.7,100.0,0.0,89.3
sqlite3_ossfuzz,1,0,Llama3.3,5,0,2,3,3,0,2,60.0,66.67,0.0,40.0
sqlite3_ossfuzz,1,1,Llama3.3,64,0,32,32,32,0,32,50.0,100.0,0.0,50.0
sqlite3_ossfuzz,1,3,Llama3.3,128,0,96,96,32,0,96,25.0,100.0,0.0,75.0
sqlite3_ossfuzz,4,0,Llama3.3,3,0,2,2,0,0,3,0.0,100.0,0.0,100.0
sqlite3_ossfuzz,4,1,Llama3.3,32,0,32,32,0,0,32,0.0,100.0,0.0,100.0
sqlite3_ossfuzz,4,3,Llama3.3,96,0,64,64,32,0,64,33.33,100.0,0.0,66.67
stb_stbi_read_fuzzer,1,0,Llama3.3,43,0,39,39,1,0,42,2.33,100.0,0.0,97.67
stb_stbi_read_fuzzer,1,1,Llama3.3,52,0,1,1,18,0,34,34.62,100.0,0.0,65.38
stb_stbi_read_fuzzer,1,3,Llama3.3,117,0,61,61,21,0,96,17.95,100.0,0.0,82.05
stb_stbi_read_fuzzer,4,0,Llama3.3,32,0,28,28,0,0,32,0.0,100.0,0.0,100.0
stb_stbi_read_fuzzer,4,1,Llama3.3,32,0,1,1,0,0,32,0.0,100.0,0.0,100.0
stb_stbi_read_fuzzer,4,3,Llama3.3,85,0,31,31,21,0,64,24.71,100.0,0.0,75.29
systemd_fuzz-link-parser,1,0,Llama3.3,19,0,3,8,4,2,10,31.58,37.5,0.0,52.63
systemd_fuzz-link-parser,1,1,Llama3.3,128,8,11,19,78,0,42,60.94,57.89,6.25,32.81
systemd_fuzz-link-parser,1,3,Llama3.3,343,20,92,112,105,0,218,30.61,82.14,5.83,63.56
systemd_fuzz-link-parser,4,0,Llama3.3,49,0,20,21,1,0,38,2.04,95.24,0.0,77.55
systemd_fuzz-link-parser,4,1,Llama3.3,69,5,5,10,42,0,22,60.87,50.0,7.25,31.88
systemd_fuzz-link-parser,4,3,Llama3.3,274,20,72,92,101,0,153,36.86,78.26,7.3,55.84
vorbis_decode_fuzzer,1,0,Llama3.3,11,0,5,6,1,0,10,9.09,83.33,0.0,90.91
vorbis_decode_fuzzer,1,1,Llama3.3,182,3,2,5,173,0,6,95.05,40.0,1.65,3.3
vorbis_decode_fuzzer,1,3,Llama3.3,252,28,9,37,180,0,44,71.43,24.32,11.11,17.46
vorbis_decode_fuzzer,4,0,Llama3.3,8,0,4,5,1,0,5,12.5,80.0,0.0,62.5
vorbis_decode_fuzzer,4,1,Llama3.3,123,1,1,2,119,0,3,96.75,50.0,0.81,2.44
vorbis_decode_fuzzer,4,3,Llama3.3,230,23,6,29,178,0,29,77.39,20.69,10.0,12.61
woff2_convert_woff2ttf_fuzzer,1,0,Llama3.3,31,0,31,31,0,0,31,0.0,100.0,0.0,100.0
woff2_convert_woff2ttf_fuzzer,1,1,Llama3.3,64,0,46,46,12,0,52,18.75,100.0,0.0,81.25
woff2_convert_woff2ttf_fuzzer,1,3,Llama3.3,128,0,110,110,12,0,116,9.38,100.0,0.0,90.62
